SEX,RACE,ARREST DATE,BOOKING DATE,ADDRESS CITY,ADDRESS STATE,ADDRESS ZIP,CHARGE CODE,CHARGE WORDING,CHARGE LEVEL,DISPOSITION
M,U,01212018,01222018,HOUSTON,TX,77020,500430,RETALIATION,F3,
M,U,01212018,01222018,HOUSTON,TX,77020,139923,ASSAULT PEACE OFFICER/JUDGE,F2,
M,W,01212018,01222018,CHANNELVIE,TX,77530,540112,FSGI ACC ATTEND DAMAGE VEH>=$2,MB,
M,W,01212018,01222018,CHANNELVIE,TX,77530,540097,FAILURE MAINTAIN FINANCIAL RES,MC,DISP
M,W,01212018,01222018,HOUSTON,TX,77093,540416,DRIVING WHILE INTOXICATED,MB,
M,B,01212018,01222018,HOUSTON,TX,77011,131302,ASSAULT-BODILY INJURY,MA,
M,B,01212018,01222018,HOUSTON,TX,77011,553305,ILLEGAL DISPOSAL OF LITTER/SOL,MC,DISP
M,W,01212018,01222018,WALLER,TX,77484,420003,PUBLIC INTOXICATION,MC,NPCF
F,W,01212018,01222018,HOUSTON,TX,77530,239100,THEFT >=$100<$750,MB,
F,W,01212018,01222018,CYPRESS,TX,77433,239100,THEFT >=$100<$750,MB,
F,W,01212018,01222018,CYPRESS,TX,77433,239100,THEFT >=$100<$750,MB,
F,W,01212018,01222018,CYPRESS,TX,77433,239100,THEFT >=$100<$750,MB,DADJ
F,B,01212018,01222018,HOUSTON,TX,77049,909701,OUT OF STATE - FUGITIVE,M,
M,B,01212018,01222018,HOUSTON,TX,77084,220074,BURGLARY OF VEHICLE,MA,
M,B,01212018,01222018,HOUSTON,TX,77006,480101,EVADING ARREST/DETENTION,MA,
M,B,01212018,01222018,HOUSTON,TX,77006,489902,FAIL TO ID TO P.O. FALSE INF,MB,
M,B,01202018,01222018,HOUSTON,TX,77057,120502,ROBBERY-THREATS,F2,
M,W,01202018,01222018,HOUSTON,TX,77055,120404,AGG ROBBERY-DEADLY WPN,F1,
M,W,01202018,01222018,HOUSTON,TX,77055,480127,EVADING ARREST/DETENTION W/VEH,F3,
M,W,01212018,01222018,HOUSTON,TX,77034,740023,VIOL PROTECTIVE ORDER,MA,
M,B,01212018,01222018,HOUSTON,TX,77040,480105,RESIST ARR-SEARCH,MA,
M,U,01212018,01222018,ROSHARON,TX,77583,241111,UNAUTH USE OF VEHICLE,FS,
M,B,01212018,01222018,HOUSTON,TX,77055,480105,RESIST ARR-SEARCH,MA,
M,W,01202018,01222018,HOUSTON,TX,,131420,ASSAULT-FAMILY MEMBER,MA,
M,B,01212018,01222018,HOUSTON,TX,77085,131420,ASSAULT-FAMILY MEMBER,MA,
M,W,01212018,01222018,HOUSTON,TX,77034,489902,FAIL TO ID TO P.O. FALSE INF,MB,
M,W,01212018,01222018,HOUSTON,TX,77034,260515,CREDIT CARD/DEBT CARD ABUSE EL,F3,DADJ
M,B,01212018,01222018,HOUSTON,TX,77082,230166,"THEFT >=2,500 <30,000",FS,
M,W,01212018,01222018,HOUSTON,TX,77040,380029,INTERFERE DUTIES PUB SERVANT,MB,
M,B,01212018,01222018,HOUSTON,TX,77082,356210,POSS MARIJ 0-2 OZ,MB,DISP
M,W,01212018,01222018,HOUSTON,TX,77038,540471,DWI 1ST OFFENDER BAC>=0.15,MA,
M,W,01212018,01222018,HARRIS CO,TX,77049,540472,DWI 2ND OFFENDER BAC>=0.15,MA,
M,W,01212018,01222018,HOUSTON,TX,77084,130119,AGG ASSAULT W/DEADLY WEAPON,F2,
M,W,01212018,01222018,HOUSTON,TX,77055,480105,RESIST ARR-SEARCH,MA,
M,W,01212018,01222018,ROSHARON,TX,77583,489901,FAIL TO ID TO P.O. FALSE INF/F,MA,
M,W,01212018,01222018,ROSHARON,TX,77583,290152,"CRIMINAL MISCHIEF >=$2,500<30K",FS,DADJ
M,B,01212018,01222018,HOUSTON,TX,77088,559909,POSS CS PG 2 1-4 GRAMS,F3,
M,B,01212018,01222018,HOUSTON,TX,77088,520303,FELON POSS WPN,F3,
M,U,01212018,01222018,HOUSTON,TX,77068,520327,CARRYING HANDGUN IN MOTOR VEHI,MA,
F,B,01212018,01222018,HOUSTON,TX,77086,549907,DRV W/LIC INV W/PR CN/SUS/W/O,MB,
F,W,01212018,01222018,HOUSTON,TX,,570703,TRESPASS PROP/BLDG-NO FORB ENT,MB,
F,W,01212018,01222018,HOUSTON,TX,,120404,AGG ROBBERY-DEADLY WPN,F1,
M,B,01212018,01222018,HOUSTON,TX,77072,559948,POSS W/INT DEL/MAN/DEL PG1 >=4,F1,
M,B,01212018,01222018,HOUSTON,TX,77072,356218,POSS MARIJ  4 OZ. - 5 LBS.,FS,
M,B,01212018,01222018,FRESNO,TX,77545,131420,ASSAULT-FAMILY MEMBER,MA,
M,W,01212018,01222018,HOUSTON,TX,77038,540416,DRIVING WHILE INTOXICATED,MB,
M,W,01212018,01222018,HOUSTON,TX,,290156,CRIM MISCH >=100 <$750,MB,
M,W,01212018,01222018,HOUSTON,TX,77075,131420,ASSAULT-FAMILY MEMBER,MA,
M,W,01212018,01222018,RAYMONDVIL,TX,78580,559904,POSS CS PG 1 <1G,FS,
M,W,01212018,01222018,RAYMONDVIL,TX,78580,250111,FORGERY,FS,
M,B,01212018,01222018,HOUSTON,TX,,500430,RETALIATION,F3,
F,B,01222018,01222018,HOUSTON,TX,77088,260445,FRAUD/USE/POSS ID INFO-LESS 5,FS,
M,W,01212018,01222018,HOUSTON,TX,77013,570703,TRESPASS PROP/BLDG-NO FORB ENT,MB,
M,W,01212018,01222018,PEARLAND,TX,77581,210097,TERRORISTIC THREAT,MB,
M,W,01212018,01222018,PEARLAND,TX,77581,131302,ASSAULT-BODILY INJURY,MA,
M,W,01212018,01222018,HOUSTON,TX,77074,090320,MURDER,F1,
M,B,01222018,01222018,HOUSTON,TX,,570703,TRESPASS PROP/BLDG-NO FORB ENT,MB,
M,B,01222018,01222018,HOUSTON,TX,,570703,TRESPASS PROP/BLDG-NO FORB ENT,MB,
M,W,01222018,01222018,HOUSTON,TX,77064,821412,DRIVING WHILE LICENSE INVALID,MC,COMM
M,W,01222018,01222018,HOUSTON,TX,77064,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
M,W,01222018,01222018,HOUSTON,TX,77064,820108,EXPIRED REGISTRATION,MC,COMM
M,W,01212018,01222018,HOUSTON,TX,77083,131420,ASSAULT-FAMILY MEMBER,MA,
M,W,01212018,01222018,HOUSTON,TX,77083,290156,CRIM MISCH >=100 <$750,MB,
M,W,01212018,01222018,HOUSTON,TX,77084,356223,POSS MARIJ<=2OZ DRUG FREE ZONE,MA,DADJ
M,W,01212018,01222018,HOUSTON,TX,77036,740008,VIOLATION PROTECTIVE ORDER,MB,
M,B,01212018,01222018,HOUSTON,TX,77290,480101,EVADING ARREST/DETENTION,MA,
F,W,01212018,01222018,HOUSTON,TX,77015,540465,DWI W/CHILD UNDER 15 YOA,FS,
F,W,01212018,01222018,HOUSTON,TX,77015,356226,POSS MARIJUANA UNDER 2 OZ (HSC,MB,
F,B,01222018,01222018,HOUSTON,TX,77092,480127,EVADING ARREST/DETENTION W/VEH,F3,
M,W,01212018,01222018,DAYTON,TX,77535,359923,POSS W/INT DEL CS PG1 1G <4 GR,F2,
M,W,01212018,01222018,SPRING,TX,77388,540416,DRIVING WHILE INTOXICATED,MB,
M,B,01222018,01222018,HOUSTON,TX,77078,131420,ASSAULT-FAMILY MEMBER,MA,
M,B,01212018,01222018,HOUSTON,TX,77078,131302,ASSAULT-BODILY INJURY,MA,
M,B,01222018,01222018,HOUSTON,TX,77032,290156,CRIM MISCH >=100 <$750,MB,
M,B,01222018,01222018,HOUSTON,TX,77086,820112,NO DRIVER'S LICENSE,MC,COMM
M,B,01222018,01222018,HOUSTON,TX,77086,821412,DRIVING WHILE LICENSE INVALID,MC,COMM
M,B,01212018,01222018,HOUSTON,TX,77084,559905,POSS CS PG 1  1 - 4 GRAMS,F3,
M,B,01212018,01222018,HOUSTON,TX,77084,131421,AGG ASSAULT-FAMILY MEMBER,F2,
M,W,01212018,01222018,KAUFMAN,TX,75142,570703,TRESPASS PROP/BLDG-NO FORB ENT,MB,
M,B,01212018,01222018,HOUSTON,TX,77038,540112,FSGI ACC ATTEND DAMAGE VEH>=$2,MB,
M,W,01212018,01222018,KATY,TX,77449,540471,DWI 1ST OFFENDER BAC>=0.15,MA,DISP
