SEX,RACE,ARREST DATE,BOOKING DATE,ADDRESS CITY,ADDRESS STATE,ADDRESS ZIP,CHARGE CODE,CHARGE WORDING,CHARGE LEVEL,DISPOSITION
F,U,09212016,09222016,SPRING,TX,77388,359930,MAN/DEL CS NOT IN PG DRUG FREE,FS,
M,B,09212016,09222016,HOUSTON,TX,77071,559905,POSS CS PG 1  1 - 4 GRAMS,F3,
M,B,09212016,09222016,HOUSTON,TX,77002,559905,POSS CS PG 1  1 - 4 GRAMS,F3,
M,W,09212016,09222016,,,,489901,FAIL TO ID TO P.O. FALSE INF/F,MA,
M,W,09212016,09222016,,,,531114,DEADLY CONDUCT,MA,DADJ
M,B,09212016,09222016,HOUSTON,TX,77082,392101,GAME RM VIOL OPER W/O PERMIT L,MA,
F,B,09212016,09222016,BEAUMONT,TX,77705,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
F,B,09212016,09222016,BEAUMONT,TX,77705,820112,NO DRIVER'S LICENSE,MC,COMM
F,B,09212016,09222016,BEAUMONT,TX,77705,820164,SPEEDING IN A SCHOOL ZONE,MC,COMM
F,W,09212016,09222016,JACINTO CI,TX,77029,559948,POSS W/INT DEL/MAN/DEL PG1 >=4,F1,
F,B,09202016,09222016,HOUSTON,TX,77080,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
F,B,09212016,09222016,FRIENDSWOO,TX,77546,139909,ASSLT FAM/HOUSEHOLD MEM W/PREV,F3,
F,W,09212016,09222016,PASADENA,TX,77503,559904,POSS CS PG 1 <1G,FS,DADJ
F,W,09212016,09222016,PASADENA,TX,77503,559904,POSS CS PG 1 <1G,FS,DADJ
F,B,09212016,09222016,HOUSTON,TX,77025,130119,AGG ASSAULT W/DEADLY WEAPON,F2,
M,B,09202016,09222016,HOUSTON,TX,77004,559904,POSS CS PG 1 <1G,FS,
M,B,09202016,09222016,HOUSTON,TX,77004,553309,ILLEGAL DUMPING 1ST OFFENSE,FS,
M,B,09202016,09222016,HOUSTON,TX,77004,130119,AGG ASSAULT W/DEADLY WEAPON,F2,
M,B,09202016,09222016,HOUSTON,TX,77077,220205,BURGLARY OF HABITATION,F2,
M,B,09202016,09222016,HOUSTON,TX,77077,131302,ASSAULT-BODILY INJURY,MA,
F,B,09202016,09222016,HOUSTON,TX,77036,230151,"THEFT >=$750 <$2,500",MA,
F,B,09202016,09222016,HOUSTON,TX,77036,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
F,B,09202016,09222016,HOUSTON,TX,77036,821412,DRIVING WHILE LICENSE INVALID,MC,COMM
M,B,09202016,09222016,AUSTIN,TX,78724,489902,FAIL TO ID TO P.O. FALSE INF,MB,
M,B,09202016,09222016,HOUSTON,TX,77091,239100,THEFT >=$100<$750,MB,
M,B,09202016,09222016,HOUSTON,TX,77004,250117,FORGERY GOVT FINANCIAL INSTRUM,FS,
M,B,09212016,09222016,HOUSTON,TX,77095,131420,ASSAULT-FAMILY MEMBER,MA,
F,B,09212016,09222016,HOUSTON,TX,77037,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
F,B,09212016,09222016,HOUSTON,TX,,559904,POSS CS PG 1 <1G,FS,
F,W,09212016,09222016,FORT BEND,TX,77083,559904,POSS CS PG 1 <1G,FS,
F,W,09212016,09222016,PASADENA,TX,77506,559904,POSS CS PG 1 <1G,FS,DADJ
F,W,09212016,09222016,HOUSTON,TX,,559904,POSS CS PG 1 <1G,FS,
F,W,09212016,09222016,HOUSTON,TX,,820112,NO DRIVER'S LICENSE,MC,COMM
F,W,09212016,09222016,HOUSTON,TX,,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
F,W,09212016,09222016,HOUSTON,TX,,820112,NO DRIVER'S LICENSE,MC,COMM
F,W,09212016,09222016,HOUSTON,TX,,820831,OPER OF VEH W/O LIC PLT OR REG,MC,COMM
F,W,09212016,09222016,HOUSTON,TX,,820697,RAN RED LIGHT,MC,COMM
F,B,09212016,09222016,TEXAS CITY,TX,77591,489901,FAIL TO ID TO P.O. FALSE INF/F,MA,
F,B,09212016,09222016,TEXAS CITY,TX,77591,239100,THEFT >=$100<$750,MB,
F,B,09212016,09222016,TEXAS CITY,TX,77591,239920,THEFT - $50-$500,MB,
M,B,09212016,09222016,HOUSTON,TX,77060,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
M,W,09212016,09222016,ANGLETON,TX,77515,520327,CARRYING HANDGUN IN MOTOR VEHI,MA,
M,B,09212016,09222016,HOUSTON,TX,77090,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
M,B,09212016,09222016,HOUSTON,TX,77048,220074,BURGLARY OF VEHICLE,MA,DADJ
M,B,09222016,09222016,HOUSTON,TX,77070,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
M,B,09222016,09222016,HOUSTON,TX,77070,820108,EXPIRED REGISTRATION,MC,COMM
M,B,09222016,09222016,HOUSTON,TX,77070,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
M,B,09222016,09222016,HOUSTON,TX,77070,540097,FAILURE MAINTAIN FINANCIAL RES,MC,COMM
M,B,09222016,09222016,HOUSTON,TX,77070,356210,POSS MARIJ 0-2 OZ,MB,DADJ
M,W,09212016,09222016,HOUSTON,TX,77025,260445,FRAUD/USE/POSS ID INFO-LESS 5,FS,
M,W,09212016,09222016,DICKINSON,TX,77539,821412,DRIVING WHILE LICENSE INVALID,MC,DISP
M,W,09212016,09222016,HOUSTON,TX,77087,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
M,W,09212016,09222016,HOUSTON,TX,77087,131420,ASSAULT-FAMILY MEMBER,MA,DISP
M,W,09202016,09222016,HOUSTON,TX,77092,570704,TRESPASS PROP/BLDG-NO DEPART,MB,
M,W,09212016,09222016,HIGHLANDS,TX,77562,549907,DRV W/LIC INV W/PR CN/SUS/W/O,MB,
M,W,09212016,09222016,HIGHLANDS,TX,77562,820196,PASSED STOPPED SCHOOL BUSS,MC,COMM
M,W,09212016,09222016,HIGHLANDS,TX,77562,821412,DRIVING WHILE LICENSE INVALID,MC,COMM
M,W,09212016,09222016,PASADENA,TX,77505,489902,FAIL TO ID TO P.O. FALSE INF,MB,
M,B,09212016,09222016,HOUSTON,TX,77072,559905,POSS CS PG 1  1 - 4 GRAMS,F3,
M,W,09202016,09222016,HOUSTON,TX,77017,909901,MOTION TO REVOKE PAROLE,F,
M,W,09212016,09222016,HOUSTON,TX,,380249,INJURY CHILD UNDER 15 B/INJURY,F3,
M,B,09212016,09222016,HOUSTON,TX,,559904,POSS CS PG 1 <1G,FS,
M,B,09212016,09222016,HOUSTON,TX,,559904,POSS CS PG 1 <1G,FS,
F,W,09212016,09222016,KATY,TX,77449,540471,DWI 1ST OFFENDER BAC>=0.15,MA,PROB
F,B,09212016,09222016,HOUSTON,TX,77072,559948,POSS W/INT DEL/MAN/DEL PG1 >=4,F1,
M,B,09202016,09222016,HOUSTON,TX,77071,480127,EVADING ARREST/DETENTION W/VEH,F3,
M,W,09202016,09222016,HOSUTON,TX,77083,559904,POSS CS PG 1 <1G,FS,
M,W,09202016,09222016,HOSUTON,TX,77083,559904,POSS CS PG 1 <1G,FS,
M,W,09202016,09222016,HOSUTON,TX,77083,540097,FAILURE MAINTAIN FINANCIAL RES,MC,DERR
M,W,09202016,09222016,HOSUTON,TX,77083,820108,EXPIRED REGISTRATION,MC,DERR
M,W,09202016,09222016,HOSUTON,TX,77083,820289,FAILURE OR REFUSAL TO PAY TOLL,MC,DERR
M,W,09202016,09222016,HOSUTON,TX,77083,820935,OPR_MOTOR VEH ON TOLL RD WHEN,MC,DERR
F,B,09212016,09222016,SCHULENBUR,TX,78956,559905,POSS CS PG 1  1 - 4 GRAMS,F3,
F,B,09212016,09222016,HOUSTON,TX,,290112,CRIM MISCH >= $50 <= $500,MB,
F,B,09212016,09222016,HOUSTON,TX,77035,559904,POSS CS PG 1 <1G,FS,
F,B,09212016,09222016,HOUSTON,TX,77067,820116,DEFECTIVE HEAD LIGHTS,MC,COMM
F,B,09212016,09222016,HOUSTON,TX,77067,821412,DRIVING WHILE LICENSE INVALID,MC,COMM
F,B,09212016,09222016,HOUSTON,TX,77067,820819,ILLEGAL USE OF BUYER'S TAG,MC,COMM
F,B,09212016,09222016,HOUSTON,TX,77067,820289,FAILURE OR REFUSAL TO PAY TOLL,MC,COMM
F,B,09212016,09222016,HOUSTON,TX,77067,820935,OPR_MOTOR VEH ON TOLL RD WHEN,MC,COMM
F,W,09222016,09222016,PASADENA,TX,77506,530003,PARENT CONTRIBUTING TO TRUANCY,MC,DISP
